Year,Make,Make,Model,Engine,No_Of_Cylinder,Size,Fuel_Type,No_Of_Cylinder,Fuel_Type
2015,Ferrari,FERRARI,LaFERRARI,V12-6262 6.3L DOHC,12,6.3L,,12,
2015,Fiat,FIAT,500,4-1368 1.4L SOHC,4,1.4L,,4,
2015,Fiat,FIAT,500L,4-1368 1.4L SOHC,4,1.4L,,4,
2015,Ford,FORD,C-MAX,4-1999 2.0L DOHC,4,2.0L,,4,
2015,Ford,FORD,E350 VAN,V10-415 6.8L SOHC,10,6.8L,,10,
2015,Ford,FORD,E350 VAN,V8-330  5.4L SOHC,8,5.4L,,8,
2015,Ford,FORD,EDGE,4-1999 2.0L DOHC,4,2.0L,,4,
2015,Ford,FORD,EDGE,V6-2700 2.7L DOHC,6,2.7L,,6,
2015,Ford,FORD,EDGE,V6-3496 3.5L DOHC,6,3.5L,,6,
2015,Ford,FORD,ESCAPE,4-121  2.0L DOHC,4,2.0L,,4,
2015,Ford,FORD,ESCAPE,4-2488 2.5L DOHC,4,2.5L,,4,
2015,Ford,FORD,ESCAPE,4-97   1.6L DOHC,4,1.6L,,4,
2015,Ford,FORD,EXPEDITION,V6-3496 3.5L DOHC,6,3.5L,,6,
2015,Ford,FORD,EXPLORER,4-121  2.0L DOHC,4,2.0L,,4,
2015,Ford,FORD,EXPLORER,V6-3496 3.5L DOHC,6,3.5L,,6,
2015,Ford,FORD,F150 PICKUP,V6-2700 2.7L DOHC,6,2.7L,,6,
2015,Ford,FORD,F150 PICKUP,V6-3496 3.5L DOHC,6,3.5L,,6,
2015,Ford,FORD,F150 PICKUP,V8-4951 5.0L DOHC,8,5.0L,,8,
2015,Ford,FORD,F250 SUPER DUTY P/U,V8-6210 6.2L SOHC,8,6.2L,,8,
2015,Ford,FORD,F250 SUPER DUTY P/U,V8-6651 6.7L Dsl,8,6.7L,Diesel,8,Diesel
2015,Ford,FORD,F350 SUPER DUTY P/U,V8-6210 6.2L SOHC,8,6.2L,,8,
2015,Ford,FORD,F350 SUPER DUTY P/U,V8-6651 6.7L Dsl,8,6.7L,Diesel,8,Diesel
2015,Ford,FORD,FIESTA,3-999  1.0L DOHC,3,1.0L,,3,
2015,Ford,FORD,FIESTA,4-1596 1.6L DOHC,4,1.6L,,4,
2015,Ford,FORD,FLEX,V6-3496 3.5L DOHC,6,3.5L,,6,
2015,Ford,FORD,FOCUS,3-999  1.0L DOHC,3,1.0L,,3,
2015,Ford,FORD,FOCUS,4-1999 2.0L DOHC,4,2.0L,,4,
2015,Ford,FORD,FUSION,4-1499 1.5L DOHC,4,1.5L,,4,
2015,Ford,FORD,FUSION,4-1596 1.6L DOHC,4,1.6L,,4,
2015,Ford,FORD,FUSION,4-1999 2.0L DOHC,4,2.0L,,4,
2015,Ford,FORD,FUSION,4-2488 2.5L DOHC,4,2.5L,,4,
2015,Ford,FORD,FUSION HYBRID,4-1999 2.0L DOHC,4,2.0L,Hybrid,4,Hybrid
2015,Ford,FORD,MUSTANG,4-140  2.3L DOHC,4,2.3L,,4,
2015,Ford,FORD,MUSTANG,V6-3731 3.7L DOHC,6,3.7L,,6,
2015,Ford,FORD,MUSTANG,V8-302  5.0L DOHC,8,5.0L,,8,
2015,Ford,FORD,MUSTANG,V8-5200 5.2L DOHC,8,5.2L,,8,
2015,Ford,FORD,POLICE INTERCEPTOR,4-1999 2.0L DOHC,4,2.0L,,4,
2015,Ford,FORD,POLICE INTERCEPTOR,V6-3496 3.5L DOHC,6,3.5L,,6,
2015,Ford,FORD,POLICE INTERCEPTOR,V6-3731 3.7L DOHC,6,3.7L,,6,
2015,Ford,FORD,POLICE INTRCPTR UTLT,V6-3496 3.5L DOHC,6,3.5L,,6,
2015,Ford,FORD,POLICE INTRCPTR UTLT,V6-3731 3.7L DOHC,6,3.7L,,6,
2015,Ford,FORD,TAURUS,4-1999 2.0L DOHC,4,2.0L,,4,
2015,Ford,FORD,TAURUS,V6-3496 3.5L DOHC,6,3.5L,,6,
2015,Ford,FORD,TRANSIT CONNECT,4-2488 2.5L DOHC,4,2.5L,,4,
2015,Ford,FORD,TRANSIT CONNECT,4-97   1.6L DOHC,4,1.6L,,4,
2015,Ford,FORD,TRANSIT VAN T150,5-3198 3.2L Dsl,5,3.2L,Diesel,5,Diesel
